Year,Month,Day,Hour,Minute,Second,KUM_META.t
2020,01,10,07,00,00,-0.65167
2020,01,10,08,00,00,-0.76833
2020,01,10,09,00,00,-1.01167
2020,01,10,10,00,00,-0.78667
2020,01,10,11,00,00,-0.56333
2020,01,10,12,00,00,0.275
2020,01,10,13,00,00,0.67667
2020,01,10,14,00,00,0.55
2020,01,10,15,00,00,0.26333
2020,01,10,16,00,00,0.14667
2020,01,10,17,00,00,0.03167
2020,01,10,18,00,00,-0.765
2020,01,10,19,00,00,-1.115
2020,01,10,20,00,00,-1.91167
2020,01,10,21,00,00,-2.255
2020,01,10,22,00,00,-2.15833
2020,01,10,23,00,00,-2.53167
2020,01,11,00,00,00,-2.28833
2020,01,11,01,00,00,-2.18833
2020,01,11,02,00,00,-1.78167
2020,01,11,03,00,00,-1.80833
2020,01,11,04,00,00,-2.05333
2020,01,11,05,00,00,-2.36167
2020,01,11,06,00,00,-2.38667
2020,01,11,07,00,00,-2.735
2020,01,11,08,00,00,-1.82333
2020,01,11,09,00,00,-0.965
2020,01,11,10,00,00,-0.27167
2020,01,11,11,00,00,0.8
2020,01,11,12,00,00,1.91833
2020,01,11,13,00,00,2.40333
2020,01,11,14,00,00,2.82667
2020,01,11,15,00,00,3.11
2020,01,11,16,00,00,3.625
2020,01,11,17,00,00,3.40167
2020,01,11,18,00,00,3.02
2020,01,11,19,00,00,2.94833
2020,01,11,20,00,00,3.27667
2020,01,11,21,00,00,3.065
2020,01,11,22,00,00,2.85
2020,01,11,23,00,00,3.46667
2020,01,12,00,00,00,3.775
2020,01,12,01,00,00,4.37833
2020,01,12,02,00,00,4.58667
2020,01,12,03,00,00,4.81833
2020,01,12,04,00,00,4.96833
2020,01,12,05,00,00,5.03
2020,01,12,06,00,00,5.17
2020,01,12,07,00,00,5.17333
2020,01,12,08,00,00,5.33167
2020,01,12,09,00,00,5.59833
2020,01,12,10,00,00,5.83833
2020,01,12,11,00,00,6.06667
2020,01,12,12,00,00,6.095
2020,01,12,13,00,00,6.21
2020,01,12,14,00,00,6.27167
