Year,Month,Day,Hour,Minute,Second,KUM_META.ws
2020,01,17,01,00,00,3.215
2020,01,17,02,00,00,3.465
2020,01,17,03,00,00,2.91333
2020,01,17,04,00,00,3.675
2020,01,17,05,00,00,3.45333
2020,01,17,06,00,00,3.17667
2020,01,17,07,00,00,3.37667
2020,01,17,08,00,00,3.42333
2020,01,17,09,00,00,3.70667
2020,01,17,10,00,00,3.92
2020,01,17,11,00,00,4.01333
2020,01,17,12,00,00,4.61
2020,01,17,13,00,00,5.525
2020,01,17,14,00,00,5.76
2020,01,17,15,00,00,5.43667
2020,01,17,16,00,00,4.98167
2020,01,17,17,00,00,4.54167
2020,01,17,18,00,00,6.24167
2020,01,17,19,00,00,6.82
2020,01,17,20,00,00,6.00833
2020,01,17,21,00,00,6.25667
2020,01,17,22,00,00,5.69
2020,01,17,23,00,00,5.09
2020,01,18,00,00,00,5.62
2020,01,18,01,00,00,4.68333
2020,01,18,02,00,00,4.205
2020,01,18,03,00,00,3.78
2020,01,18,04,00,00,3.72167
2020,01,18,05,00,00,2.85333
2020,01,18,06,00,00,3.295
2020,01,18,07,00,00,4.24667
2020,01,18,08,00,00,5.23
2020,01,18,09,00,00,5.61333
2020,01,18,10,00,00,5.21333
2020,01,18,11,00,00,6.09833
2020,01,18,12,00,00,5.58333
2020,01,18,13,00,00,6.06167
2020,01,18,14,00,00,6.49
2020,01,18,15,00,00,6.19333
2020,01,18,16,00,00,5.65333
2020,01,18,17,00,00,6.22333
2020,01,18,18,00,00,6.36833
2020,01,18,19,00,00,5.91833
2020,01,18,20,00,00,5.415
2020,01,18,21,00,00,6.51167
2020,01,18,22,00,00,6.08167
2020,01,18,23,00,00,5.87667
2020,01,19,00,00,00,6.13167
2020,01,19,01,00,00,5.99167
2020,01,19,02,00,00,6.805
2020,01,19,03,00,00,6.9
2020,01,19,04,00,00,6.74667
2020,01,19,05,00,00,5.73667
2020,01,19,06,00,00,5.11333
2020,01,19,07,00,00,4.58667
2020,01,19,08,00,00,4.72167
2020,01,19,09,00,00,5.52333
2020,01,19,10,00,00,5.94
2020,01,19,11,00,00,5.93333
2020,01,19,12,00,00,5.83
2020,01,19,13,00,00,4.89
2020,01,19,14,00,00,4.10167
2020,01,19,15,00,00,3.47833
2020,01,19,16,00,00,3.04333
2020,01,19,17,00,00,3.34333
2020,01,19,18,00,00,3.53
2020,01,19,19,00,00,4.38667
2020,01,19,20,00,00,4.22167
2020,01,19,21,00,00,4.78833
2020,01,19,22,00,00,4.325
2020,01,19,23,00,00,4.40167
2020,01,20,00,00,00,4.60333
2020,01,20,01,00,00,5.16333
2020,01,20,02,00,00,4.71833
2020,01,20,03,00,00,5.48333
2020,01,20,04,00,00,5.39333
2020,01,20,05,00,00,4.06833
2020,01,20,06,00,00,3.715
2020,01,20,07,00,00,4.76167
2020,01,20,08,00,00,4.34833
2020,01,20,09,00,00,3.96833
2020,01,20,10,00,00,4.58333
2020,01,20,11,00,00,5.645
2020,01,20,12,00,00,4.79167
2020,01,20,13,00,00,5.64167
2020,01,20,14,00,00,5.40667
2020,01,20,15,00,00,5.245
2020,01,20,16,00,00,5.32167
2020,01,20,17,00,00,5.27
2020,01,20,18,00,00,4.21
2020,01,20,19,00,00,4.95667
2020,01,20,20,00,00,5.595
2020,01,20,21,00,00,5.335
2020,01,20,22,00,00,4.92
2020,01,20,23,00,00,5.15667
2020,01,21,00,00,00,5.255
2020,01,21,01,00,00,5.43833
2020,01,21,02,00,00,4.57
2020,01,21,03,00,00,5.38167
2020,01,21,04,00,00,5.53833
2020,01,21,05,00,00,5.10167
2020,01,21,06,00,00,5.16667
2020,01,21,07,00,00,4.61333
2020,01,21,08,00,00,4.205
2020,01,21,09,00,00,5.815
2020,01,21,10,00,00,7.31167
2020,01,21,11,00,00,8.51
2020,01,21,12,00,00,7.90333
2020,01,21,13,00,00,6.64167
2020,01,21,14,00,00,7.19
2020,01,21,15,00,00,7.03
2020,01,21,16,00,00,7.16333
2020,01,21,17,00,00,6.98167
2020,01,21,18,00,00,7.145
2020,01,21,19,00,00,6.915
2020,01,21,20,00,00,7.06
2020,01,21,21,00,00,7.7
2020,01,21,22,00,00,6.75667
2020,01,21,23,00,00,6.37167
2020,01,22,00,00,00,6.72333
2020,01,22,01,00,00,7.17667
2020,01,22,02,00,00,6.69333
2020,01,22,03,00,00,6.33667
2020,01,22,04,00,00,6.88833
2020,01,22,05,00,00,6.785
2020,01,22,06,00,00,6.01667
2020,01,22,07,00,00,5.39
2020,01,22,08,00,00,5.71167
2020,01,22,09,00,00,4.81167
2020,01,22,10,00,00,5.01
2020,01,22,11,00,00,4.705
2020,01,22,12,00,00,4.61
2020,01,22,13,00,00,5.47167
2020,01,22,14,00,00,6.20333
2020,01,22,15,00,00,5.45667
2020,01,22,16,00,00,5.16667
2020,01,22,17,00,00,4.67167
2020,01,22,18,00,00,3.75167
2020,01,22,19,00,00,3.78
2020,01,22,20,00,00,4.14
2020,01,22,21,00,00,4.72833
2020,01,22,22,00,00,4.47667
2020,01,22,23,00,00,4.32167
2020,01,23,00,00,00,4.36833
2020,01,23,01,00,00,4.265
2020,01,23,02,00,00,3.45167
2020,01,23,03,00,00,2.76333
2020,01,23,04,00,00,3.27333
2020,01,23,05,00,00,3.325
2020,01,23,06,00,00,3.64833
2020,01,23,07,00,00,4.16833
2020,01,23,08,00,00,3.38833
2020,01,23,09,00,00,3.64333
2020,01,23,10,00,00,3.86333
2020,01,23,11,00,00,3.71
2020,01,23,12,00,00,3.77833
2020,01,23,13,00,00,3.68333
2020,01,23,14,00,00,3.54
2020,01,23,15,00,00,3.2
2020,01,23,16,00,00,3.90667
2020,01,23,17,00,00,4.24333
2020,01,23,18,00,00,5.20833
2020,01,23,19,00,00,5.59
2020,01,23,20,00,00,4.57167
2020,01,23,21,00,00,4.25333
2020,01,23,22,00,00,4.14833
2020,01,23,23,00,00,4.30833
2020,01,24,00,00,00,4.11333
2020,01,24,01,00,00,4.39167
2020,01,24,02,00,00,4.48167
2020,01,24,03,00,00,3.38333
2020,01,24,04,00,00,3.17
2020,01,24,05,00,00,3.67833
2020,01,24,06,00,00,3.10333
2020,01,24,07,00,00,3.35667
2020,01,24,08,00,00,3.54
2020,01,24,09,00,00,4.04667
2020,01,24,10,00,00,3.67833
2020,01,24,11,00,00,3.815
2020,01,24,12,00,00,3.09
2020,01,24,13,00,00,4.30167
2020,01,24,14,00,00,4.71167
2020,01,24,15,00,00,3.685
2020,01,24,16,00,00,2.925
2020,01,24,17,00,00,3.195
2020,01,24,18,00,00,3.1
